owner	name	signature	req_arity	shape	discriminating	note
Deno	lstatSync	path: string | URL	1	D-FIRST	no	path/subject-first
Deno	stat	path: string | URL	1	D-FIRST	no	path/subject-first
Deno	statSync	path: string | URL	1	D-FIRST	no	path/subject-first
Deno	writeFile	path: string | URL, data: Uint8Array | ReadableStream<Uint8Array>, options?: WriteFileOptions,	2	D-LAST	yes	path=K, data=D  ** plausible pipeline terminus **
Deno	writeFileSync	path: string | URL, data: Uint8Array, options?: WriteFileOptions,	2	D-LAST	yes	path=K, data=D  ** plausible pipeline terminus **
Deno	writeTextFile	path: string | URL, data: string | ReadableStream<string>, options?: WriteFileOptions,	2	D-LAST	yes	path=K, data=D  ** plausible pipeline terminus **
Deno	writeTextFileSync	path: string | URL, data: string, options?: WriteFileOptions,	2	D-LAST	yes	path=K, data=D  ** plausible pipeline terminus **
Deno	truncate	name: string, len?: number	1	D-FIRST	no	path/subject-first
Deno	truncateSync	name: string, len?: number	1	D-FIRST	no	path/subject-first
Deno	addSignalListener	signal: Signal, handler: () => void	2	F-LAST	yes	signal=K, handler=F
Deno	removeSignalListener	signal: Signal, handler: () => void,	2	F-LAST	yes	signal=K, handler=F
Deno	spawn	command: string | URL, options?: CommandOptions,	1	D-FIRST	no	command=D, args, options
Deno	spawn	"command: string | URL, args: string[], options?: Omit<CommandOptions, ""args"">,"	2	D-FIRST	yes	command=D, args, options
Deno	spawnAndWait	command: string | URL, options?: CommandOptions,	1	D-FIRST	no	command=D, args, options
Deno	spawnAndWait	"command: string | URL, args: string[], options?: Omit<CommandOptions, ""args"">,"	2	D-FIRST	yes	command=D, args, options
Deno	spawnAndWaitSync	command: string | URL, options?: CommandOptions,	1	D-FIRST	no	command=D, args, options
Deno	spawnAndWaitSync	"command: string | URL, args: string[], options?: Omit<CommandOptions, ""args"">,"	2	D-FIRST	yes	command=D, args, options
Deno	inspect	value: unknown, options?: InspectOptions	1	D-FIRST	no	path/subject-first
Deno	symlink	oldpath: string | URL, newpath: string | URL, options?: SymlinkOptions,	2	D-FIRST	yes	oldpath=D
Deno	symlinkSync	oldpath: string | URL, newpath: string | URL, options?: SymlinkOptions,	2	D-FIRST	yes	oldpath=D
Deno	utimeSync	path: string | URL, atime: number | Date, mtime: number | Date,	3	D-FIRST	yes	path=D
Deno	utime	path: string | URL, atime: number | Date, mtime: number | Date,	3	D-FIRST	yes	path=D
Deno	umask	mask?: number	0	NO-D	no	path/subject-first
Deno	upgradeWebSocket	request: Request, options?: UpgradeWebSocketOptions,	1	D-FIRST	no	path/subject-first
Deno	kill	pid: number, signo?: Signal | number	1	D-FIRST	no	path/subject-first
Deno	resolveDns	"query: string, recordType: ""A"" | ""AAAA"" | ""ANAME"" | ""CNAME"" | ""NS"" | ""PTR"", options?: ResolveDnsOptions,"	2	D-FIRST	yes	query=D, recordType=C
Deno	resolveDns	"query: string, recordType: ""CAA"", options?: ResolveDnsOptions,"	2	D-FIRST	yes	query=D, recordType=C
Deno	resolveDns	"query: string, recordType: ""MX"", options?: ResolveDnsOptions,"	2	D-FIRST	yes	query=D, recordType=C
Deno	resolveDns	"query: string, recordType: ""NAPTR"", options?: ResolveDnsOptions,"	2	D-FIRST	yes	query=D, recordType=C
Deno	resolveDns	"query: string, recordType: ""SOA"", options?: ResolveDnsOptions,"	2	D-FIRST	yes	query=D, recordType=C
Deno	resolveDns	"query: string, recordType: ""SRV"", options?: ResolveDnsOptions,"	2	D-FIRST	yes	query=D, recordType=C
Deno	resolveDns	"query: string, recordType: ""TXT"", options?: ResolveDnsOptions,"	2	D-FIRST	yes	query=D, recordType=C
Deno	resolveDns	query: string, recordType: RecordType, options?: ResolveDnsOptions,	2	D-FIRST	yes	query=D, recordType=C
Deno	refTimer	id: number | NodeJS.Timeout	1	D-FIRST	no	path/subject-first
Deno	unrefTimer	id: number | NodeJS.Timeout	1	D-FIRST	no	path/subject-first
Deno	uid		0	NO-D	no	path/subject-first
Deno	gid		0	NO-D	no	path/subject-first
Deno	serve	handler: ServeHandler<Deno.NetAddr>,	1	F-LAST	no	options lead, handler last — callback-last convention
Deno	serve	options: ServeUnixOptions, handler: ServeHandler<Deno.UnixAddr>,	2	F-LAST	yes	options lead, handler last — callback-last convention
Deno	serve	options: ServeVsockOptions, handler: ServeHandler<Deno.VsockAddr>,	2	F-LAST	yes	options lead, handler last — callback-last convention
Deno	serve	options: ServeTcpOptions | (ServeTcpOptions & TlsCertifiedKeyPem), handler: ServeHandler<Deno.NetAddr>,	2	F-LAST	yes	options lead, handler last — callback-last convention
Deno	serve	options: ServeUnixOptions & ServeInit<Deno.UnixAddr>,	1	F-LAST	no	options lead, handler last — callback-last convention
Deno	serve	options: ServeVsockOptions & ServeInit<Deno.VsockAddr>,	1	F-LAST	no	options lead, handler last — callback-last convention
Deno	serve	options: & (ServeTcpOptions | (ServeTcpOptions & TlsCertifiedKeyPem)) & ServeInit<Deno.NetAddr>,	1	F-LAST	no	options lead, handler last — callback-last convention
Deno	createHttpClient	options: | CreateHttpClientOptions | (CreateHttpClientOptions & TlsCertifiedKeyPem),	1	D-FIRST	no	path/subject-first
